mode,metric,value
true_tau,loglik,-2711.714183187766
true_tau,loglik,-2711.714183187766
true_tau,loglik,-2711.714183187766
heuristic,loglik,-2889.1569592940436
heuristic,loglik,-3290.269827728849
heuristic,loglik,-2894.325562053915
heuristic,loglik,-2809.969133632249
heuristic,loglik,-2679.077231089615
heuristic,loglik,-2728.01425552557
heuristic,loglik,-2704.309471959743
heuristic,loglik,-2753.720363087298
heuristic,loglik,-3418.2179683434265
heuristic,loglik,-2904.1772051739986
heuristic,loglik,-2700.4159871405577
heuristic,loglik,-3267.612595135646
heuristic,loglik,-3309.123116479057
heuristic,loglik,-2731.694561330004
heuristic,loglik,-2893.6308196947284
heuristic,loglik,-2750.203409164664
heuristic,loglik,-2997.7121220244053
heuristic,loglik,-4092.3671614664054
heuristic,loglik,-2694.684865140216
heuristic,loglik,-2710.577237855361
heuristic,loglik,-2704.940192361804
heuristic,loglik,-3322.541800664486
heuristic,loglik,-3169.235021301205
heuristic,loglik,-3130.0728230742593
heuristic,loglik,-2773.7560068907546
random,loglik,-2738.932812420902
random,loglik,-3908.565866061581
random,loglik,-2709.30979064521
random,loglik,-3019.790504628475
random,loglik,-2730.7462102041236
random,loglik,-3904.8555682383603
random,loglik,-4092.528371833645
random,loglik,-2709.6572686370923
random,loglik,-4092.4628811759158
random,loglik,-3923.830297857459
random,loglik,-3923.830297857459
random,loglik,-3045.2967091572477
random,loglik,-3923.830297857459
random,loglik,-2704.509029747052
random,loglik,-3903.153486479699
random,loglik,-2687.873054754524
random,loglik,-3045.2967091572477
random,loglik,-3923.830297857459
random,loglik,-2962.7559465410136
random,loglik,-3045.2967091572477
random,loglik,-3045.2967091572477
random,loglik,-2725.905139554255
random,loglik,-3923.830297857459
random,loglik,-4092.4125825789397
random,loglik,-2730.7462102041236
true_tau,tau_mae,1.4166666666666667
true_tau,tau_mae,1.4166666666666667
true_tau,tau_mae,1.4166666666666667
heuristic,tau_mae,1.3333333333333333
heuristic,tau_mae,2.1666666666666665
heuristic,tau_mae,4.583333333333333
