combo_id,dataset,method,dataset_seed,method_seed,lambda_activation_consensus,lambda_ineq_constraint,truncated_inequality_z_threshold,truncated_z_observation_noise_scale,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
0,S3ObsAvoid,swcl,125949,0,0.3,0.005,-0.15,0.003,3.3333333333333335,0.0056365609081939095,0.0028984770843376636,0.15860638348676784
1,S3ObsAvoid,swcl,125949,0,0.3,0.005,-0.15,0.01,3.3333333333333335,0.0056365609081939095,0.0028984770843376636,0.15860638348676784
2,S3ObsAvoid,swcl,125949,0,0.75,0.005,-0.15,0.003,6.333333333333333,0.005054819982379513,0.003371036626689856,0.11710627547548641
3,S3ObsAvoid,swcl,125949,0,0.75,0.005,-0.15,0.01,6.333333333333333,0.005054819982379513,0.003371036626689856,0.11710627547548641
4,S3ObsAvoid,swcl,125949,0,0.3,0.015,-0.15,0.003,4.166666666666667,0.005547975529375066,0.0028769184370501175,0.18193815378589318
5,S3ObsAvoid,swcl,125949,0,0.3,0.015,-0.15,0.01,4.166666666666667,0.005547975529375066,0.0028769184370501175,0.18193815378589318
6,S3ObsAvoid,swcl,125949,0,0.75,0.015,-0.15,0.003,6.166666666666667,0.004768858709102164,0.0030712440455775932,0.16231748117509037
7,S3ObsAvoid,swcl,125949,0,0.75,0.015,-0.15,0.01,6.166666666666667,0.004768858709102164,0.0030712440455775932,0.16231748117509037
8,S3ObsAvoid,swcl,125949,0,0.3,0.03,-0.15,0.003,11.666666666666666,0.003109141146308631,0.0007732027185796062,0.6591214134149771
9,S3ObsAvoid,swcl,125949,0,0.3,0.03,-0.15,0.01,11.666666666666666,0.003109141146308631,0.0007732027185796062,0.6591214134149771
10,S3ObsAvoid,swcl,125949,0,0.75,0.03,-0.15,0.003,13.0,0.003109141146308631,0.0007732027185796062,0.6710100969885313
11,S3ObsAvoid,swcl,125949,0,0.75,0.03,-0.15,0.01,3.3333333333333335,0.005330740630497008,0.0026575551851926674,0.12810719344418742
12,S3ObsAvoid,swcl,125949,0,0.3,0.005,-0.25,0.003,7.166666666666667,0.010066704238175636,0.003988669909478255,0.11371892338233056
13,S3ObsAvoid,swcl,125949,0,0.3,0.005,-0.25,0.01,7.166666666666667,0.010066704238175636,0.003988669909478255,0.11371892338233056
14,S3ObsAvoid,swcl,125949,0,0.75,0.005,-0.25,0.003,3.1666666666666665,0.005419326009315853,0.0026791138324802136,0.1022322331657292
15,S3ObsAvoid,swcl,125949,0,0.75,0.005,-0.25,0.01,3.1666666666666665,0.005419326009315853,0.0026791138324802136,0.1022322331657292
16,S3ObsAvoid,swcl,125949,0,0.3,0.015,-0.25,0.003,4.166666666666667,0.005547975529375066,0.0028769184370501175,0.18193815378589318
17,S3ObsAvoid,swcl,125949,0,0.3,0.015,-0.25,0.01,4.166666666666667,0.005547975529375066,0.0028769184370501175,0.18193815378589318
18,S3ObsAvoid,swcl,125949,0,0.75,0.015,-0.25,0.003,6.166666666666667,0.004768858709102164,0.0030712440455775932,0.16231748117509037
19,S3ObsAvoid,swcl,125949,0,0.75,0.015,-0.25,0.01,6.166666666666667,0.004768858709102164,0.0030712440455775932,0.16231748117509037
20,S3ObsAvoid,swcl,125949,0,0.3,0.03,-0.25,0.003,11.666666666666666,0.003109141146308631,0.0007732027185796062,0.6591214134149771
21,S3ObsAvoid,swcl,125949,0,0.3,0.03,-0.25,0.01,11.666666666666666,0.003109141146308631,0.0007732027185796062,0.6591214134149771
22,S3ObsAvoid,swcl,125949,0,0.75,0.03,-0.25,0.003,12.666666666666666,0.003109141146308631,0.0007732027185796062,0.693223510876193
23,S3ObsAvoid,swcl,125949,0,0.75,0.03,-0.25,0.01,12.666666666666666,0.003109141146308631,0.0007732027185796062,0.693223510876193
24,S3ObsAvoid,swcl,125949,0,0.3,0.005,-0.35,0.003,7.0,0.010066704238175636,0.003988669909478255,0.09527467519388186
25,S3ObsAvoid,swcl,125949,0,0.3,0.005,-0.35,0.01,7.0,0.010066704238175636,0.003988669909478255,0.09527467519388186
26,S3ObsAvoid,swcl,125949,0,0.75,0.005,-0.35,0.003,7.333333333333333,0.005185549731387778,0.003483267714251508,0.11710590208001756
27,S3ObsAvoid,swcl,125949,0,0.75,0.005,-0.35,0.01,7.333333333333333,0.005185549731387778,0.003483267714251508,0.11710590208001756
28,S3ObsAvoid,swcl,125949,0,0.3,0.015,-0.35,0.003,12.0,0.003109141146308631,0.0007732027185796062,0.6311309838366451
29,S3ObsAvoid,swcl,125949,0,0.3,0.015,-0.35,0.01,3.1666666666666665,0.005725146287012747,0.002920035731625208,0.16193080496162707
30,S3ObsAvoid,swcl,125949,0,0.75,0.015,-0.35,0.003,10.5,0.0033957721772228285,0.0008779378127567322,0.4964277114153411
31,S3ObsAvoid,swcl,125949,0,0.75,0.015,-0.35,0.01,6.0,0.004765173450542058,0.003078552290879883,0.11710627547548641
32,S3ObsAvoid,swcl,125949,0,0.3,0.03,-0.35,0.003,12.666666666666666,0.003109141146308631,0.0007732027185796062,0.693223510876193
33,S3ObsAvoid,swcl,125949,0,0.3,0.03,-0.35,0.01,12.666666666666666,0.003109141146308631,0.0007732027185796062,0.693223510876193
34,S3ObsAvoid,swcl,125949,0,0.75,0.03,-0.35,0.003,12.666666666666666,0.003109141146308631,0.0007732027185796062,0.693223510876193
35,S3ObsAvoid,swcl,125949,0,0.75,0.03,-0.35,0.01,12.666666666666666,0.003109141146308631,0.0007732027185796062,0.693223510876193
