combo_id,dataset,method,dataset_seed,method_seed,equality_dispersion_ratio_threshold,lambda_activation_consensus,lambda_ineq_constraint,lambda_param_consensus,truncated_inequality_z_threshold,truncated_z_observation_noise_scale,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
0,S3ObsAvoid,swcl,125949,0,0.03,0.3,0.005,10,-0.25,0.003,3.0,0.009845050208554865,0.0039347269099881295,0.10223201624502468
1,S3ObsAvoid,swcl,125949,0,0.05,0.3,0.005,10,-0.25,0.003,7.333333333333333,0.010066704238175636,0.003988669909478255,0.14048600275858644
2,S3ObsAvoid,swcl,125949,0,0.075,0.3,0.005,10,-0.25,0.003,8.166666666666666,0.005695496151321976,0.0033761282375679123,0.2518701708670801
3,S3ObsAvoid,swcl,125949,0,0.1,0.3,0.005,10,-0.25,0.003,13.166666666666666,0.2909958995792455,0.07099492784233034,0.691467388284678
4,S3ObsAvoid,swcl,125949,0,0.15,0.3,0.005,10,-0.25,0.003,6.333333333333333,0.009971971163266705,0.004015794573867235,0.16559260480323088
5,S3ObsAvoid,swcl,125949,0,0.03,0.3,0.005,30,-0.25,0.003,7.166666666666667,0.010066704238175636,0.003988669909478255,0.11371892338233056
6,S3ObsAvoid,swcl,125949,0,0.05,0.3,0.005,30,-0.25,0.003,9.166666666666666,0.0031567306720285595,0.0015519631651229812,0.5461120272708899
7,S3ObsAvoid,swcl,125949,0,0.075,0.3,0.005,30,-0.25,0.003,9.333333333333334,0.005208413326646364,0.004004404433425386,0.3085116607283835
8,S3ObsAvoid,swcl,125949,0,0.1,0.3,0.005,30,-0.25,0.003,9.5,0.009695955678413257,0.003881746318772878,0.16336838106807336
9,S3ObsAvoid,swcl,125949,0,0.15,0.3,0.005,30,-0.25,0.003,13.166666666666666,0.010065952959344943,0.00410349417757749,0.167590888160207
10,S3ObsAvoid,swcl,125949,0,0.03,0.3,0.005,60,-0.25,0.003,8.166666666666666,0.004968204471661588,0.003316144086081191,0.29771247463528555
11,S3ObsAvoid,swcl,125949,0,0.05,0.3,0.005,60,-0.25,0.003,9.166666666666666,0.0031567306720285595,0.0015519631651229812,0.5461120272708899
12,S3ObsAvoid,swcl,125949,0,0.075,0.3,0.005,60,-0.25,0.003,9.333333333333334,0.005208413326646364,0.004004404433425386,0.3085116607283835
13,S3ObsAvoid,swcl,125949,0,0.1,0.3,0.005,60,-0.25,0.003,8.0,0.0069185059835144835,0.003524576039300018,0.1612522354446239
14,S3ObsAvoid,swcl,125949,0,0.15,0.3,0.005,60,-0.25,0.003,13.166666666666666,0.010065952959344943,0.00410349417757749,0.167590888160207
15,S3ObsAvoid,swcl,125949,0,0.03,0.5,0.005,10,-0.25,0.003,2.6666666666666665,0.0056365609081939095,0.0028984770843376636,0.12291721754530803
16,S3ObsAvoid,swcl,125949,0,0.05,0.5,0.005,10,-0.25,0.003,2.8333333333333335,0.005547975529375066,0.0028769184370501175,0.1496842969215639
17,S3ObsAvoid,swcl,125949,0,0.075,0.5,0.005,10,-0.25,0.003,8.166666666666666,0.005695496151321976,0.0033761282375679123,0.2518701708670801
18,S3ObsAvoid,swcl,125949,0,0.1,0.5,0.005,10,-0.25,0.003,12.833333333333334,0.15520799679546923,0.037851345241309585,0.854994466709205
19,S3ObsAvoid,swcl,125949,0,0.15,0.5,0.005,10,-0.25,0.003,6.333333333333333,0.009971971163266705,0.004015794573867235,0.16559260480323088
20,S3ObsAvoid,swcl,125949,0,0.03,0.5,0.005,30,-0.25,0.003,3.1666666666666665,0.005419326009315853,0.0026791138324802136,0.1022322331657292
21,S3ObsAvoid,swcl,125949,0,0.05,0.5,0.005,30,-0.25,0.003,4.833333333333333,0.005408947173346355,0.002824209690157486,0.20423695416152424
22,S3ObsAvoid,swcl,125949,0,0.075,0.5,0.005,30,-0.25,0.003,10.666666666666666,0.005366546081751917,0.004164086489873431,0.42442099628853375
