combo_id,num_runs,equality_dispersion_ratio_threshold,lambda_activation_consensus,lambda_ineq_constraint,lambda_param_consensus,truncated_inequality_z_threshold,truncated_z_observation_noise_scale,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintErrorRaw_mean,MeanConstraintErrorRaw_std,MeanConstraintError_mean,MeanConstraintError_std,MeanStageSubgoalError_mean,MeanStageSubgoalError_std
6,1,0.05,0.3,0.005,30,-0.25,0.003,9.166666666666666,0.0,0.0015519631651229812,0.0,0.0031567306720285595,0.0,0.5461120272708899,0.0
11,1,0.05,0.3,0.005,60,-0.25,0.003,9.166666666666666,0.0,0.0015519631651229812,0.0,0.0031567306720285595,0.0,0.5461120272708899,0.0
26,1,0.05,0.5,0.005,60,-0.25,0.003,11.833333333333334,0.0,0.0016310166863298392,0.0,0.0031796038547767425,0.0,0.5681210271623657,0.0
41,1,0.05,0.75,0.005,60,-0.25,0.003,11.833333333333334,0.0,0.0016310166863298392,0.0,0.0031796038547767425,0.0,0.5681210271623657,0.0
36,1,0.05,0.75,0.005,30,-0.25,0.003,7.166666666666667,0.0,0.0016341194169426597,0.0,0.003350010146697445,0.0,0.16231765728918832,0.0
10,1,0.03,0.3,0.005,60,-0.25,0.003,8.166666666666666,0.0,0.003316144086081191,0.0,0.004968204471661588,0.0,0.29771247463528555,0.0
7,1,0.075,0.3,0.005,30,-0.25,0.003,9.333333333333334,0.0,0.004004404433425386,0.0,0.005208413326646364,0.0,0.3085116607283835,0.0
12,1,0.075,0.3,0.005,60,-0.25,0.003,9.333333333333334,0.0,0.004004404433425386,0.0,0.005208413326646364,0.0,0.3085116607283835,0.0
43,1,0.1,0.75,0.005,60,-0.25,0.003,7.0,0.0,0.003748856568292068,0.0,0.005318709466994575,0.0,0.16125173384414515,0.0
40,1,0.03,0.75,0.005,60,-0.25,0.003,4.666666666666667,0.0,0.0026575551851926674,0.0,0.005330740630497008,0.0,0.1770178632789646,0.0
22,1,0.075,0.5,0.005,30,-0.25,0.003,10.666666666666666,0.0,0.004164086489873431,0.0,0.005366546081751917,0.0,0.42442099628853375,0.0
27,1,0.075,0.5,0.005,60,-0.25,0.003,10.666666666666666,0.0,0.004164086489873431,0.0,0.005366546081751917,0.0,0.42442099628853375,0.0
42,1,0.075,0.75,0.005,60,-0.25,0.003,13.166666666666666,0.0,0.00419377094101032,0.0,0.00538631002033441,0.0,0.43604570219423855,0.0
21,1,0.05,0.5,0.005,30,-0.25,0.003,4.833333333333333,0.0,0.002824209690157486,0.0,0.005408947173346355,0.0,0.20423695416152424,0.0
20,1,0.03,0.5,0.005,30,-0.25,0.003,3.1666666666666665,0.0,0.0026791138324802136,0.0,0.005419326009315853,0.0,0.1022322331657292,0.0
35,1,0.03,0.75,0.005,30,-0.25,0.003,3.1666666666666665,0.0,0.0026791138324802136,0.0,0.005419326009315853,0.0,0.1022322331657292,0.0
16,1,0.05,0.5,0.005,10,-0.25,0.003,2.8333333333333335,0.0,0.0028769184370501175,0.0,0.005547975529375066,0.0,0.1496842969215639,0.0
25,1,0.03,0.5,0.005,60,-0.25,0.003,4.166666666666667,0.0,0.0028769184370501175,0.0,0.005547975529375066,0.0,0.18193815378589318,0.0
31,1,0.05,0.75,0.005,10,-0.25,0.003,2.8333333333333335,0.0,0.0028769184370501175,0.0,0.005547975529375066,0.0,0.1496842969215639,0.0
15,1,0.03,0.5,0.005,10,-0.25,0.003,2.6666666666666665,0.0,0.0028984770843376636,0.0,0.0056365609081939095,0.0,0.12291721754530803,0.0
30,1,0.03,0.75,0.005,10,-0.25,0.003,2.6666666666666665,0.0,0.0028984770843376636,0.0,0.0056365609081939095,0.0,0.12291721754530803,0.0
2,1,0.075,0.3,0.005,10,-0.25,0.003,8.166666666666666,0.0,0.0033761282375679123,0.0,0.005695496151321976,0.0,0.2518701708670801,0.0
17,1,0.075,0.5,0.005,10,-0.25,0.003,8.166666666666666,0.0,0.0033761282375679123,0.0,0.005695496151321976,0.0,0.2518701708670801,0.0
32,1,0.075,0.75,0.005,10,-0.25,0.003,8.166666666666666,0.0,0.0033761282375679123,0.0,0.005695496151321976,0.0,0.2518701708670801,0.0
37,1,0.075,0.75,0.005,30,-0.25,0.003,8.5,0.0,0.003414602353102505,0.0,0.005734066326414259,0.0,0.2615770727538377,0.0
13,1,0.1,0.3,0.005,60,-0.25,0.003,8.0,0.0,0.003524576039300018,0.0,0.0069185059835144835,0.0,0.1612522354446239,0.0
28,1,0.1,0.5,0.005,60,-0.25,0.003,8.333333333333334,0.0,0.0036342576652287715,0.0,0.0070271234329535425,0.0,0.1612523544653068,0.0
8,1,0.1,0.3,0.005,30,-0.25,0.003,9.5,0.0,0.003881746318772878,0.0,0.009695955678413257,0.0,0.16336838106807336,0.0
0,1,0.03,0.3,0.005,10,-0.25,0.003,3.0,0.0,0.0039347269099881295,0.0,0.009845050208554865,0.0,0.10223201624502468,0.0
23,1,0.1,0.5,0.005,30,-0.25,0.003,10.666666666666666,0.0,0.004015794573867231,0.0,0.009971971163266691,0.0,0.16127757781071678,0.0
4,1,0.15,0.3,0.005,10,-0.25,0.003,6.333333333333333,0.0,0.004015794573867235,0.0,0.009971971163266705,0.0,0.16559260480323088,0.0
19,1,0.15,0.5,0.005,10,-0.25,0.003,6.333333333333333,0.0,0.004015794573867235,0.0,0.009971971163266705,0.0,0.16559260480323088,0.0
34,1,0.15,0.75,0.005,10,-0.25,0.003,6.333333333333333,0.0,0.004015794573867235,0.0,0.009971971163266705,0.0,0.16559260480323088,0.0
39,1,0.15,0.75,0.005,30,-0.25,0.003,6.333333333333333,0.0,0.004015794573867235,0.0,0.009971971163266705,0.0,0.16559260480323088,0.0
9,1,0.15,0.3,0.005,30,-0.25,0.003,13.166666666666666,0.0,0.00410349417757749,0.0,0.010065952959344943,0.0,0.167590888160207,0.0
14,1,0.15,0.3,0.005,60,-0.25,0.003,13.166666666666666,0.0,0.00410349417757749,0.0,0.010065952959344943,0.0,0.167590888160207,0.0
24,1,0.15,0.5,0.005,30,-0.25,0.003,13.166666666666666,0.0,0.00410349417757749,0.0,0.010065952959344943,0.0,0.167590888160207,0.0
29,1,0.15,0.5,0.005,60,-0.25,0.003,13.166666666666666,0.0,0.00410349417757749,0.0,0.010065952959344943,0.0,0.167590888160207,0.0
1,1,0.05,0.3,0.005,10,-0.25,0.003,7.333333333333333,0.0,0.003988669909478255,0.0,0.010066704238175636,0.0,0.14048600275858644,0.0
5,1,0.03,0.3,0.005,30,-0.25,0.003,7.166666666666667,0.0,0.003988669909478255,0.0,0.010066704238175636,0.0,0.11371892338233056,0.0
44,1,0.15,0.75,0.005,60,-0.25,0.003,12.333333333333334,0.0,0.004125476199795983,0.0,0.010080588612705745,0.0,0.16765470111163944,0.0
38,1,0.1,0.75,0.005,30,-0.25,0.003,11.833333333333334,0.0,0.0028221531981911705,0.0,0.011226540194907755,0.0,0.22506834440048593,0.0
18,1,0.1,0.5,0.005,10,-0.25,0.003,12.833333333333334,0.0,0.037851345241309585,0.0,0.15520799679546923,0.0,0.854994466709205,0.0
33,1,0.1,0.75,0.005,10,-0.25,0.003,12.833333333333334,0.0,0.037851345241309585,0.0,0.15520799679546923,0.0,0.854994466709205,0.0
3,1,0.1,0.3,0.005,10,-0.25,0.003,13.166666666666666,0.0,0.07099492784233034,0.0,0.2909958995792455,0.0,0.691467388284678,0.0
