combo_id,dataset,method,dataset_seed,method_seed,equality_dispersion_ratio_threshold,lambda_activation_consensus,lambda_ineq_constraint,lambda_param_consensus,truncated_inequality_z_threshold,truncated_z_observation_noise_scale,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
0,S3ObsAvoid,swcl,125949,0,0.005,0.5,0.005,10,-0.25,0.003,27.833333333333332,0.00037400051299729664,0.0005617301382970785,0.2881306150267244
1,S3ObsAvoid,swcl,125949,0,0.01,0.5,0.005,10,-0.25,0.003,26.166666666666668,0.0036467659770764507,0.0011228535537269116,0.2765130470297169
2,S3ObsAvoid,swcl,125949,0,0.015,0.5,0.005,10,-0.25,0.003,12.833333333333334,0.02308540053773633,0.0057989273221638535,0.211699196536514
3,S3ObsAvoid,swcl,125949,0,0.02,0.5,0.005,10,-0.25,0.003,11.833333333333334,0.023051616564155483,0.0057907054600449285,0.18920735743465308
4,S3ObsAvoid,swcl,125949,0,0.025,0.5,0.005,10,-0.25,0.003,11.833333333333334,0.023051616564155483,0.0057907054600449285,0.18920735743465308
5,S3ObsAvoid,swcl,125949,0,0.03,0.5,0.005,10,-0.25,0.003,2.6666666666666665,0.0056365609081939095,0.0028984770843376636,0.12291721754530803
6,S3ObsAvoid,swcl,125949,0,0.005,0.5,0.005,30,-0.25,0.003,27.833333333333332,0.00037400051299729664,0.0005617301382970785,0.2881306150267244
7,S3ObsAvoid,swcl,125949,0,0.01,0.5,0.005,30,-0.25,0.003,26.166666666666668,0.0036467659770764507,0.0011228535537269116,0.2765130470297169
8,S3ObsAvoid,swcl,125949,0,0.015,0.5,0.005,30,-0.25,0.003,12.833333333333334,0.02308540053773633,0.0057989273221638535,0.211699196536514
9,S3ObsAvoid,swcl,125949,0,0.02,0.5,0.005,30,-0.25,0.003,11.833333333333334,0.023051616564155483,0.0057907054600449285,0.18920735743465308
10,S3ObsAvoid,swcl,125949,0,0.025,0.5,0.005,30,-0.25,0.003,11.833333333333334,0.023051616564155483,0.0057907054600449285,0.18920735743465308
11,S3ObsAvoid,swcl,125949,0,0.03,0.5,0.005,30,-0.25,0.003,3.1666666666666665,0.005419326009315853,0.0026791138324802136,0.1022322331657292
12,S3ObsAvoid,swcl,125949,0,0.005,0.75,0.005,10,-0.25,0.003,27.833333333333332,0.00037400051299729664,0.0005617301382970785,0.2881306150267244
13,S3ObsAvoid,swcl,125949,0,0.01,0.75,0.005,10,-0.25,0.003,26.166666666666668,0.0036467659770764507,0.0011228535537269116,0.2765130470297169
14,S3ObsAvoid,swcl,125949,0,0.015,0.75,0.005,10,-0.25,0.003,12.833333333333334,0.02308540053773633,0.0057989273221638535,0.211699196536514
15,S3ObsAvoid,swcl,125949,0,0.02,0.75,0.005,10,-0.25,0.003,11.833333333333334,0.023051616564155483,0.0057907054600449285,0.18920735743465308
16,S3ObsAvoid,swcl,125949,0,0.025,0.75,0.005,10,-0.25,0.003,11.833333333333334,0.023051616564155483,0.0057907054600449285,0.18920735743465308
17,S3ObsAvoid,swcl,125949,0,0.03,0.75,0.005,10,-0.25,0.003,2.6666666666666665,0.0056365609081939095,0.0028984770843376636,0.12291721754530803
18,S3ObsAvoid,swcl,125949,0,0.005,0.75,0.005,30,-0.25,0.003,27.833333333333332,0.00037400051299729664,0.0005617301382970785,0.2881306150267244
19,S3ObsAvoid,swcl,125949,0,0.01,0.75,0.005,30,-0.25,0.003,26.166666666666668,0.0036467659770764507,0.0011228535537269116,0.2765130470297169
20,S3ObsAvoid,swcl,125949,0,0.015,0.75,0.005,30,-0.25,0.003,12.833333333333334,0.02308540053773633,0.0057989273221638535,0.211699196536514
21,S3ObsAvoid,swcl,125949,0,0.02,0.75,0.005,30,-0.25,0.003,11.833333333333334,0.023051616564155483,0.0057907054600449285,0.18920735743465308
22,S3ObsAvoid,swcl,125949,0,0.025,0.75,0.005,30,-0.25,0.003,11.833333333333334,0.023051616564155483,0.0057907054600449285,0.18920735743465308
23,S3ObsAvoid,swcl,125949,0,0.03,0.75,0.005,30,-0.25,0.003,3.1666666666666665,0.005419326009315853,0.0026791138324802136,0.1022322331657292
