combo_id,dataset,method,dataset_seed,method_seed,segmenter.feature_distance_weight,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
0,S5SphereInspect,cluster,127,0,0.1,15.35,0.027526980035022724,0.009714116775489237,0.8440039626107343
0,S5SphereInspect,cluster,127,1,0.1,15.5,0.02801588386728509,0.009878065754126742,0.8467107687867536
0,S5SphereInspect,cluster,127,2,0.1,15.35,0.027526980035022724,0.009714116775489237,0.8440039626107343
0,S5SphereInspect,cluster,127,3,0.1,15.525,0.02801588386728509,0.009878065754126742,0.847769386030319
0,S5SphereInspect,cluster,127,4,0.1,13.125,0.014910202152429105,0.005483207318356065,0.8349307219965878
0,S5SphereInspect,cluster,127,5,0.1,15.175,0.027068184759321785,0.009560264398209208,0.8403436896514723
0,S5SphereInspect,cluster,127,6,0.1,19.375,0.04167352484438017,0.014458018172235174,0.9150424263945084
1,S5SphereInspect,cluster,127,0,0.3,6.15,0.04449125042015655,0.003573003843604586,0.7316433093549426
1,S5SphereInspect,cluster,127,1,0.3,6.275,0.04433661484137993,0.0035211483588886427,0.7389106110069394
1,S5SphereInspect,cluster,127,2,0.3,6.25,0.044473298603452185,0.003566983882583316,0.7389550088169975
1,S5SphereInspect,cluster,127,3,0.3,4.525,0.0447315618432604,0.0036535898602665677,0.6834419900544284
1,S5SphereInspect,cluster,127,4,0.3,6.25,0.044473298603452185,0.003566983882583316,0.7389550088169975
1,S5SphereInspect,cluster,127,5,0.3,6.425,0.044546810896995095,0.003591635490217254,0.7389015348983469
1,S5SphereInspect,cluster,127,6,0.3,4.525,0.0447315618432604,0.0036535898602665677,0.6834419900544284
2,S5SphereInspect,cluster,127,0,1.0,1.55,0.04498499232363297,0.003738575220721663,0.6396528400586989
2,S5SphereInspect,cluster,127,1,1.0,1.75,0.04498499232363297,0.003738575220721663,0.6395699607971693
2,S5SphereInspect,cluster,127,2,1.0,1.55,0.04498499232363297,0.003738575220721663,0.6396528400586989
2,S5SphereInspect,cluster,127,3,1.0,4.4,0.044759284594846974,0.0036628864059422422,0.6782284590787168
2,S5SphereInspect,cluster,127,4,1.0,1.55,0.04498499232363297,0.003738575220721663,0.6396528400586989
2,S5SphereInspect,cluster,127,5,1.0,1.55,0.04498499232363297,0.003738575220721663,0.6396528400586989
2,S5SphereInspect,cluster,127,6,1.0,1.55,0.04498499232363297,0.003738575220721663,0.6396528400586989
3,S5SphereInspect,cluster,127,0,3.0,1.625,0.044977971254551545,0.003736220775882243,0.6398879909027175
3,S5SphereInspect,cluster,127,1,3.0,1.625,0.044977971254551545,0.003736220775882243,0.6398879909027175
3,S5SphereInspect,cluster,127,2,3.0,1.625,0.044977971254551545,0.003736220775882243,0.6398879909027175
3,S5SphereInspect,cluster,127,3,3.0,5.3,0.04488258572693536,0.00370423419938701,0.6745348476296256
3,S5SphereInspect,cluster,127,4,3.0,1.6,0.044977971254551545,0.003736220775882243,0.6398805510360843
3,S5SphereInspect,cluster,127,5,3.0,1.625,0.044977971254551545,0.003736220775882243,0.6398879909027175
3,S5SphereInspect,cluster,127,6,3.0,1.6,0.044977971254551545,0.003736220775882243,0.6398805510360843
