combo_id,dataset,method,dataset_seed,method_seed,feat_weight,gmm_K,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError,TrainingLogLikelihoodFinal
0,S4SlideInsert,fchmm,12342,0,0.01,1,7.666666666666667,0.07506551987913004,0.03340115277787099,0.1992284236040161,-32.58919616386123
0,S4SlideInsert,fchmm,12342,1,0.01,1,17.333333333333336,0.22755520243385535,0.11176098918482605,0.40458463996544325,-21.88248935641498
0,S4SlideInsert,fchmm,12342,2,0.01,1,17.099999999999998,0.22397187487271636,0.11069896086565677,0.39868268682400704,-26.2160635063313
1,S4SlideInsert,fchmm,12342,0,0.02,1,4.366666666666667,0.05832775605311298,0.031788912577323684,0.1514724466205298,-21.17330073859124
1,S4SlideInsert,fchmm,12342,1,0.02,1,5.166666666666667,0.11397531789900098,0.06849379580168209,0.1663020012492936,-10.039979781554717
1,S4SlideInsert,fchmm,12342,2,0.02,1,1.2666666666666668,0.06446608395115078,0.03989097540254754,0.08743524168440289,-0.10529577551494018
2,S4SlideInsert,fchmm,12342,0,0.05,1,0.0,0.01289674839643597,0.0036485433618388204,0.07738985814113822,92.85849694583635
2,S4SlideInsert,fchmm,12342,1,0.05,1,0.0,0.01291925832443988,0.0036288147112553027,0.07738985814113822,103.87935708426856
2,S4SlideInsert,fchmm,12342,2,0.05,1,0.0,0.012967555108838364,0.003642050990132785,0.07738985814113822,99.64243000966005
3,S4SlideInsert,fchmm,12342,0,0.1,1,0.0,0.012973739875128003,0.0036719470567155815,0.07738985814113822,285.3457634967973
3,S4SlideInsert,fchmm,12342,1,0.1,1,0.0,0.012927749074253946,0.0036302704749618373,0.07738985814113822,294.1493637462449
3,S4SlideInsert,fchmm,12342,2,0.1,1,0.0,0.012949428697918047,0.0036359066737482013,0.07738985814113822,290.04874331409064
4,S4SlideInsert,fchmm,12342,0,0.01,2,7.033333333333333,0.0739350827407339,0.03328108520574057,0.18631909936652497,-28.225086638164086
4,S4SlideInsert,fchmm,12342,1,0.01,2,16.7,0.21992791063125888,0.11018631864744001,0.3919900170643406,-15.634735846466551
4,S4SlideInsert,fchmm,12342,2,0.01,2,16.4,0.21718529998224334,0.10970473364412402,0.38849681075841735,-22.525259853962417
5,S4SlideInsert,fchmm,12342,0,0.02,2,4.299999999999999,0.05859521401241792,0.03181309869712938,0.14894147058808235,-18.111912340392532
5,S4SlideInsert,fchmm,12342,1,0.02,2,1.5333333333333332,0.0810717307960973,0.05466873982788354,0.0825680003868327,-10.079768245264106
5,S4SlideInsert,fchmm,12342,2,0.02,2,0.9666666666666666,0.08026594990799094,0.05461820027819366,0.08610605555811526,-8.41776227439073
6,S4SlideInsert,fchmm,12342,0,0.05,2,0.0,0.01289152194242067,0.003647540243204768,0.07738985814113822,94.13975743516848
6,S4SlideInsert,fchmm,12342,1,0.05,2,0.0,0.012924124518938608,0.0036292973996836604,0.07738985814113822,105.66195335526241
6,S4SlideInsert,fchmm,12342,2,0.05,2,0.0,0.012965012714929237,0.003640779231788137,0.07738985814113822,102.6578442366386
7,S4SlideInsert,fchmm,12342,0,0.1,2,0.0,0.012930130595464596,0.00362959384209279,0.07738985814113822,286.55621463667046
7,S4SlideInsert,fchmm,12342,1,0.1,2,0.0,0.012929062329985235,0.0036302986762976543,0.07738985814113822,295.9429076067366
7,S4SlideInsert,fchmm,12342,2,0.1,2,0.0,0.012947407780565136,0.0036350649711458017,0.07738985814113822,292.7631333771651
