combo_id,dataset,method,dataset_seed,method_seed,feat_weight,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
0,S5SphereInspect,fchmm,127,0,0.05,1.6,0.004958216315756927,0.0020394016167965823,0.6476265016443373
0,S5SphereInspect,fchmm,127,1,0.05,1.6,0.004953411602006553,0.0020377904044066642,0.6477036540456942
0,S5SphereInspect,fchmm,127,2,0.05,1.975,0.004998758273859417,0.002052996954333844,0.6483750452512415
0,S5SphereInspect,fchmm,127,3,0.05,6.125,0.13010442015114754,0.02159611156996772,0.6502155396673531
0,S5SphereInspect,fchmm,127,4,0.05,20.35,0.1797499673431918,0.05469127465706475,0.959849811272067
0,S5SphereInspect,fchmm,127,5,0.05,16.225,0.1830569832830107,0.018786976778899594,0.9460471506326243
0,S5SphereInspect,fchmm,127,6,0.05,21.925,0.22453775315499014,0.06835981817140038,0.9696408258516963
1,S5SphereInspect,fchmm,127,0,0.1,0.725,0.005136517936035003,0.0020991932702977057,0.6464628583635244
1,S5SphereInspect,fchmm,127,1,0.1,0.675,0.005159530096471446,0.0021069101666499777,0.6466201284972043
1,S5SphereInspect,fchmm,127,2,0.1,0.725,0.005178408445426739,0.0021132408309347318,0.6464122688234037
1,S5SphereInspect,fchmm,127,3,0.1,5.525,0.12303326572134055,0.019971900794544122,0.6509410723303648
1,S5SphereInspect,fchmm,127,4,0.1,20.575,0.18725374409786336,0.056584474498041604,0.959383224406521
1,S5SphereInspect,fchmm,127,5,0.1,15.95,0.19509679387984777,0.022761968748182156,0.9484381653026571
1,S5SphereInspect,fchmm,127,6,0.1,20.85,0.2057048400204335,0.06255344126492171,0.9620396738178756
2,S5SphereInspect,fchmm,127,0,0.2,0.4,0.0052534565923849875,0.0021384074715509573,0.6468371470209565
2,S5SphereInspect,fchmm,127,1,0.2,0.4,0.005252464108211801,0.002138074651974242,0.6468371470209565
2,S5SphereInspect,fchmm,127,2,0.2,0.425,0.0052555307621041745,0.0021391030234868213,0.6467499487292939
2,S5SphereInspect,fchmm,127,3,0.2,5.5,0.12972936259864412,0.02146260362709466,0.6509780828820668
2,S5SphereInspect,fchmm,127,4,0.2,20.875,0.24076085953183596,0.060756577928708436,0.9581372991076074
2,S5SphereInspect,fchmm,127,5,0.2,16.325,0.22541070835089147,0.03207402636587993,0.9623907569769742
2,S5SphereInspect,fchmm,127,6,0.2,20.725,0.20792498844518742,0.06200838526307798,0.9595614981146923
3,S5SphereInspect,fchmm,127,0,0.5,8.425,0.010328473672994916,0.0038402633622762806,0.7368053480793586
3,S5SphereInspect,fchmm,127,1,0.5,6.625,0.011096807407964525,0.004097916345927691,0.6892281616569856
3,S5SphereInspect,fchmm,127,2,0.5,0.35,0.005316928229512872,0.0021596920461295884,0.6469534641514566
3,S5SphereInspect,fchmm,127,3,0.5,5.925,0.16276269658590045,0.0293621227249784,0.6525972443151852
3,S5SphereInspect,fchmm,127,4,0.5,19.575,0.14155811329208293,0.04601213163509245,0.9583401537876521
3,S5SphereInspect,fchmm,127,5,0.5,14.05,0.013680279805552078,0.005007835246637134,0.9290636723584302
3,S5SphereInspect,fchmm,127,6,0.5,20.95,0.22929476984129238,0.06034609565059438,0.9582883305667764
4,S5SphereInspect,fchmm,127,0,1.0,13.375,0.07710095813894127,0.011567989422698318,0.7364476287259649
4,S5SphereInspect,fchmm,127,1,1.0,6.85,0.011088966388121846,0.0040952869388544534,0.6943772415619514
4,S5SphereInspect,fchmm,127,2,1.0,0.35,0.005335354988375304,0.002165871274222597,0.6467914081723475
4,S5SphereInspect,fchmm,127,3,1.0,6.125,0.16939244375042709,0.031585341698778024,0.6534117301211233
4,S5SphereInspect,fchmm,127,4,1.0,19.575,0.14527901658079984,0.047344955941133124,0.9594380254730369
4,S5SphereInspect,fchmm,127,5,1.0,14.65,0.017207545338912465,0.006190668236310605,0.9385537051210321
4,S5SphereInspect,fchmm,127,6,1.0,19.75,0.14765694496300846,0.04844949388731772,0.9592612740917842
5,S5SphereInspect,fchmm,127,0,2.0,8.625,0.010393629104566551,0.0038621125803718404,0.7391074766055291
5,S5SphereInspect,fchmm,127,1,2.0,7.0,0.01109563273541586,0.004097522431313244,0.6978918632300929
5,S5SphereInspect,fchmm,127,2,2.0,7.1,0.011393661210781992,0.00419746328044725,0.6919109128803511
5,S5SphereInspect,fchmm,127,3,2.0,6.225,0.1735226545236538,0.032970366305140206,0.654025501194142
5,S5SphereInspect,fchmm,127,4,2.0,19.55,0.14550314676744608,0.04754594209955565,0.9595601295243651
5,S5SphereInspect,fchmm,127,5,2.0,14.725,0.01796710314578317,0.006372619689224296,0.9400335708007088
5,S5SphereInspect,fchmm,127,6,2.0,19.775,0.14843494771357096,0.04852909203409676,0.9592551934637561
